[[ 0.88190414]
 [ 0.13334012]
 [ 0.71937221]
 [ 0.12071537]
 [ 0.34477397]
 [ 0.08901767]
 [ 0.87260118]
 [ 0.52130952]
 [ 0.53216127]
 [ 0.96745829]][[  6.57428803e-01]
 [  8.04687230e-01]
 [  1.99608180e-01]
 [  2.19313773e-04]
 [  1.61162109e-01]
 [  3.84378491e-01]
 [  9.43011809e-01]
 [  6.68395000e-01]
 [  2.85333595e-01]
 [  2.12879756e-02]][[ 0.15676701]
 [ 0.87160661]
 [ 0.32752472]
 [ 0.7803125 ]
 [ 0.53828663]
 [ 0.24945401]
 [ 0.99163668]
 [ 0.66054591]
 [ 0.22198145]
 [ 0.41207788]][[ 0.0298765 ]
 [ 0.41760455]
 [ 0.89579539]
 [ 0.75037651]
 [ 0.30611742]
 [ 0.83167881]
 [ 0.09391826]
 [ 0.83541502]
 [ 0.2528138 ]
 [ 0.2091738 ]][[ 0.64432021]
 [ 0.62164625]
 [ 0.58034025]
 [ 0.04876993]
 [ 0.46673978]
 [ 0.6296604 ]
 [ 0.86646229]
 [ 0.90020984]
 [ 0.78571515]
 [ 0.23142686]][[ 0.14544967]
 [ 0.00325937]
 [ 0.19151419]
 [ 0.40288882]
 [ 0.47984769]
 [ 0.85602419]
 [ 0.247169  ]
 [ 0.76544702]
 [ 0.04515253]
 [ 0.05479855]][[ 0.53232915]
 [ 0.67200418]
 [ 0.2849779 ]
 [ 0.52869826]
 [ 0.22410617]
 [ 0.24670931]
 [ 0.4840747 ]
 [ 0.92525406]
 [ 0.87731192]
 [ 0.78852928]][[ 0.30906339]
 [ 0.42183031]
 [ 0.16755976]
 [ 0.02309072]
 [ 0.52866133]
 [ 0.6468024 ]
 [ 0.10875092]
 [ 0.06991463]
 [ 0.88258166]
 [ 0.88947395]][[ 0.87406476]
 [ 0.03924757]
 [ 0.57203661]
 [ 0.15403525]
 [ 0.81366535]
 [ 0.83438836]
 [ 0.73719681]
 [ 0.55810155]
 [ 0.17212887]
 [ 0.19768007]][[ 0.32390399]
 [ 0.56683519]
 [ 0.94719524]
 [ 0.43864668]
 [ 0.43120977]
 [ 0.25715353]
 [ 0.5680933 ]
 [ 0.40444226]
 [ 0.45278605]
 [ 0.88445061]]
